Symbol,Comms,Swaps,PL,Largest_Win,Avg_Lot,Max_Lot,Unique_Logins,Win_Count,Win_Amt,Loss_Count,Loss_Amt,Trade_Count,Sweep_Count,Hold_Time_60s,Win_Hold,Loss_Hold,Win_Percent,LPFlags,Recommendation_Reason
XAUUSD.c,-127912.95,-32175.68,-337135.84,20637.0,0.4,10.0,2317,34803,9002531.6,29951,-9339667.44,128501,27943,128.56,100.24,117.52,54.0,sweep,loss>70%win
EURUSD.c,-125235.7,-15234.27,-85081.44,21720.0,2.42,30.0,926,4649,1410520.18,5708,-1495601.62,20701,3509,368.25,434.82,384.32,45.0,sweep,loss>70%win
NAS100.c,-15145.0,-5010.12,-128156.24,22457.68,0.39,8.0,589,3638,1240008.6,4204,-1368164.84,15539,2747,220.29,154.21,172.51,46.0,sweep,loss>70%win
GBPUSD.c,-50476.7,-1977.2,-51254.5,8584.0,1.9,30.0,704,2337,659159.83,3003,-710414.33,10604,1778,321.63,393.88,310.44,44.0,sweep,loss>70%win
USDJPY.c,-66090.7,-3199.48,-114824.0,28209.81,3.05,30.0,654,1775,894361.13,2583,-1009185.13,8688,1593,457.06,288.43,352.0,41.0,sweep,loss>70%win
US30.c,-7137.25,-457.84999999999997,48294.35,11924.0,0.34,4.64,358,2276,489418.84,1954,-441124.49,8397,1517,197.39,124.49,296.56,54.0,sweep,loss>70%win
BTCUSD,-3166.05,-7855.93,-60181.15,16460.37,0.18,4.0,265,1405,204415.16,2131,-264596.31,7023,825,457.21,479.66,290.54,40.0,,loss>70%win
GER30.c,-10418.7,-1553.21,105776.21,17989.34,0.95,11.0,220,1140,637674.49,1101,-531898.28,4396,538,254.08,198.23,174.1,51.0,,loss>70%win
AUDUSD.c,-16928.6,-1984.58,-42796.66,4417.68,2.31,30.0,278,697,148742.17,769,-191538.83,2939,532,1155.52,685.9,1397.34,48.0,sweep,loss>70%win
GBPJPY.c,-10508.45,-163.99,-75187.2,4645.44,1.51,19.02,290,568,138816.35,830,-214003.55,2780,424,682.05,369.91,295.27,41.0,sweep,loss>70%win
USDCAD.c,-9279.4,-646.66,21817.97,7043.79,1.5,30.0,262,596,82458.52,650,-60640.55,2470,444,536.42,796.09,667.28,48.0,sweep,loss>70%win
XAGUSD.c,-904.8,-116.9,-13465.4,5000.0,0.15,3.0,178,585,93173.4,622,-106638.8,2407,268,243.23,130.3,236.14,48.0,,loss>70%win
SPX500.c,-1751.45,-1422.85,-34616.1,2898.0,0.33,7.5,159,620,81197.2,461,-115813.3,2135,244,590.17,732.69,972.58,57.0,,loss>70%win
USDCHF.c,-6807.0,727.76,4704.1,7504.71,1.41,16.52,216,464,98537.87,515,-93833.77,1936,452,751.96,866.67,756.62,47.0,sweep,loss>70%win
EURJPY.c,-8619.8,-644.72,-51716.37,8012.39,2.19,16.86,180,303,91786.09,493,-143502.46,1572,335,337.64,458.75,299.11,38.0,sweep,loss>70%win
NZDUSD.c,-3670.35,-433.22,-23652.94,2157.84,1.13,20.0,158,231,17345.21,423,-40998.15,1304,248,786.89,838.07,527.56,35.0,sweep,loss>70%win
HK50.c,-856.55,698.91,-8462.28,1175.49,0.34,2.0,40,308,31226.670000000002,197,-39688.95,1013,119,532.67,521.03,700.93,61.0,,loss>70%win
JP225.c,-342.45,-57.14,8351.46,4680.6,0.14,3.0,69,264,39495.85,229,-31144.39,984,74,340.55,328.84,286.91,54.0,,loss>70%win
WTI.c,-1388.4,-288.8,22981.06,4023.0,0.58,7.54,78,216,61059.85,265,-38078.79,951,213,399.37,324.77,161.75,45.0,sweep,meets_all
AUDJPY.c,-3237.7,-783.77,-4101.26,12379.48,1.49,24.96,100,188,36579.42,254,-40680.68,867,179,641.74,758.94,1055.52,43.0,sweep,loss>70%win
GBPAUD.c,-2921.8,-383.11,-14498.29,5087.95,1.52,18.0,105,146,48670.2,239,-63168.49,771,131,637.4,794.3,403.5,38.0,sweep,loss>70%win
CADJPY.c,-2462.1,-232.65,16019.04,3649.29,1.38,21.0,68,179,32956.299999999996,188,-16937.26,715,166,343.35,364.93,224.35,49.0,sweep,meets_all
AUDCAD.c,-1007.05,-192.84,6183.71,3640.9,0.58,11.0,89,182,11659.98,159,-5476.27,691,130,579.99,468.91,195.5,53.0,sweep,meets_all
EURAUD.c,-1914.2,-291.6,-7803.26,4826.74,1.32,12.23,88,99,27518.97,194,-35322.23,579,68,558.33,281.67,512.34,34.0,,loss>70%win
EURGBP.c,-2556.75,-54.449999999999996,-3991.21,4501.13,1.98,18.0,82,120,37594.47,141,-41585.68,516,68,1120.87,971.24,1679.44,46.0,,loss>70%win
EURCHF.c,-577.1,-251.84,2963.78,1090.95,0.49,12.0,44,147,7170.99,85,-4207.21,470,103,2728.75,2697.61,4352.59,63.0,sweep,meets_all
GBPCAD.c,-1546.65,-272.92,2545.99,2896.74,1.32,20.0,76,107,18948.52,129,-16402.53,470,59,577.09,577.9,543.19,45.0,,loss>70%win
NZDJPY.c,-1410.75,-313.36,-6390.85,1382.56,1.19,10.0,63,92,9704.33,142,-16095.18,466,65,809.29,1138.61,689.17,39.0,,loss>70%win
CHFJPY.c,-1200.6,-285.07,-1453.62,2775.01,1.13,10.0,49,102,23395.1,110,-24848.719999999998,424,97,703.52,463.21,903.06,48.0,sweep,loss>70%win
EURNZD.c,-670.05,-57.089999999999996,483.67,1101.52,0.73,5.0,55,76,6737.74,111,-6254.07,368,83,421.9,844.13,150.3,41.0,sweep,loss>70%win
EURCAD.c,-628.15,-115.93,-5853.91,824.58,0.7,20.0,61,67,3780.88,112,-9634.79,357,50,993.95,1359.87,1032.64,37.0,,loss>70%win
AUDNZD.c,-997.05,-737.53,-15064.12,533.74,1.13,24.36,42,84,4074.63,95,-19138.75,353,104,1258.28,710.2,2112.94,47.0,sweep,loss>70%win
GBPNZD.c,-806.1,-19.74,-446.96,1233.74,0.92,10.0,44,85,13380.45,92,-13827.41,351,52,789.07,464.74,638.97,48.0,,loss>70%win
HKCH50.c,-520.0,-339.29,-6047.34,777.4,0.64,2.3,24,94,12151.95,68,-18199.29,323,55,582.96,331.18,1109.1,58.0,sweep,loss>70%win
GBPCHF.c,-925.85,101.43,-3567.66,1412.68,1.25,7.18,54,68,7504.4800000000005,80,-11072.14,296,56,1122.33,349.21,468.62,46.0,sweep,loss>70%win
NZDCAD.c,-850.95,-256.54,-6559.0,1090.74,1.24,15.0,48,51,4739.33,89,-11298.33,278,37,788.51,306.43,459.06,36.0,,loss>70%win
CADCHF.c,-687.75,-304.84000000000003,-871.4,1524.05,1.01,9.32,38,62,9023.17,76,-9894.57,273,45,886.68,775.0,871.82,45.0,sweep,loss>70%win
AUDCHF.c,-654.1,-55.74,-239.24,848.84,1.36,20.0,47,37,5423.33,61,-5662.57,193,21,1024.39,850.9,631.34,38.0,,loss>70%win
ETHUSD,-1862.0,-145.97,-7308.59,1202.72,4.44,30.0,41,25,6582.2,64,-13890.789999999999,175,33,518.33,1046.73,545.04,28.0,sweep,loss>70%win
EU50.c,-157.4,0.0,-837.48,3095.77,0.43,5.0,6,21,8879.03,52,-9716.509999999998,146,19,36.34,163.52,11.72,29.0,,loss>70%win
UK100.c,-488.45,14.58,-7148.44,658.55,1.37,30.0,14,32,2228.57,44,-9377.01,143,33,58.28,72.12,82.71,42.0,sweep,loss>70%win
NZDCHF.c,-267.95,3.6,-163.83,318.78,0.79,8.0,26,31,1264.84,38,-1428.67,135,17,1103.16,322.72,433.75,45.0,,loss>70%win
BRENT.c,-95.6,-15.120000000000001,106.02,724.28,0.34,3.08,9,31,5668.92,24,-5562.9,114,9,498.47,619.46,217.79,56.0,,loss>70%win
CHI50.c,-265.5,0.0,-9721.66,900.0,1.0,3.0,6,22,7234.18,31,-16955.84,106,60,102.1,104.46,159.61,42.0,sweep,loss>70%win
US2000.c,-60.650000000000006,50.14,-2033.75,579.6,0.33,2.48,11,11,836.55,26,-2870.3,73,3,510.51,168.11,1525.02,30.0,,loss>70%win
AUS200.c,-69.95,21.47,-249.26,769.1,0.42,1.0,7,13,2607.67,15,-2856.93,59,9,1195.56,1320.58,2168.05,46.0,sweep,loss>70%win
ESP35.c,-17.35,0.0,-347.41,100.42,0.2,1.0,4,4,194.23,13,-541.64,34,7,39.94,29.19,87.11,24.0,sweep,loss>70%win
USDMXN.c,-26.6,-72.92,-643.53,230.39,0.44,1.3,5,3,244.82,9,-888.3499999999999,24,4,352.54,0.0,0.0,25.0,sweep,loss>70%win
ADAUSD,-44.0,0.0,165.36,168.05,2.2,8.5,4,1,168.05,3,-2.69,8,0,69.24,164.73,2.05,25.0,,meets_all
LTCUSD,-1.0,0.0,-0.65,0.0,0.1,0.1,2,0,0.0,2,-0.6499999999999999,4,0,89.41,0.0,0.0,0.0,,"low_win%,loss>70%win"
USDSEK.c,-0.55,0.0,-22.99,0.0,0.06,0.1,2,0,0.0,2,-22.990000000000002,4,0,0.55,0.0,0.0,0.0,,"low_win%,loss>70%win"
USDNOK.c,-0.05,0.0,-2.14,0.0,0.01,0.01,1,0,0.0,1,-2.14,2,0,0.18,0.0,0.0,0.0,,"low_trades,low_win%,loss>70%win"
FRA40.c,-0.05,0.0,-7.76,0.0,0.01,0.01,1,0,0.0,1,-7.76,2,0,219.97,0.0,0.0,0.0,,"low_trades,low_win%,loss>70%win"
IT40.c,-2.0,0.0,-58.79,0.0,0.4,0.4,1,0,0.0,1,-58.79,2,0,0.07,0.0,0.0,0.0,,"low_trades,low_win%,loss>70%win"
