Symbol,Comms,Swaps,PL,Largest_Win,Avg_Lot,Max_Lot,Unique_Logins,Win_Count,Win_Amt,Loss_Count,Loss_Amt,Trade_Count,Sweep_Count,Hold_Time_60s,Win_Hold,Loss_Hold,Win_Percent,LPFlags,Recommendation_Reason
XAUUSD.c,-62753.95,-23228.09,-23548.08,19674.0,0.45,10.0,1141,14698,3924072.62,13185,-3947620.7,55425,13976,142.39,121.51,127.86,53.0,sweep,loss>70%win
EURUSD.c,-65058.2,-7783.01,32650.42,21720.0,2.14,30.0,542,2772,800108.24,3314,-767457.82,12180,2237,402.33,510.63,501.93,46.0,sweep,loss>70%win
NAS100.c,-9107.95,-3783.66,9634.62,22457.68,0.43,8.0,308,1970,714306.26,2314,-704671.64,8486,1301,266.31,181.69,206.63,46.0,sweep,loss>70%win
GBPUSD.c,-23026.45,-1136.28,-16949.71,8584.0,1.71,30.0,368,1190,332286.39,1524,-349236.1,5398,959,375.82,513.23,387.73,44.0,sweep,loss>70%win
USDJPY.c,-31867.7,-1680.7,40101.55,28209.81,2.71,30.0,351,1015,501490.83,1349,-461389.28,4720,998,457.9,239.77,367.86,43.0,sweep,loss>70%win
US30.c,-4533.4,-362.32,22868.89,11924.0,0.42,4.64,200,1151,290320.72,1019,-267451.83,4319,708,189.61,113.07,389.61,53.0,sweep,loss>70%win
GER30.c,-8249.9,-1106.0900000000001,71108.56,17989.34,1.09,10.0,130,771,505368.79,772,-434260.23,3030,360,195.28,187.7,134.93,50.0,,loss>70%win
BTCUSD,-818.05,-3428.9900000000002,-4767.08,16460.37,0.19,3.0,114,361,54438.11,505,-59205.19,1723,266,510.15,412.89,489.56,42.0,sweep,loss>70%win
AUDUSD.c,-8824.75,-727.84,-22895.88,3893.0,2.14,30.0,166,373,70346.83,445,-93242.71,1659,319,1345.4,999.24,2017.91,46.0,sweep,loss>70%win
GBPJPY.c,-6192.3,48.499999999999986,-45260.8,4645.44,1.51,19.02,170,374,90458.59,446,-135719.39,1639,216,873.85,211.2,412.93,46.0,,loss>70%win
USDCAD.c,-3619.75,-7.579999999999998,-8172.93,1697.71,1.17,30.0,154,241,15206.03,378,-23378.96,1239,210,605.28,662.74,870.23,39.0,sweep,loss>70%win
USDCHF.c,-4053.7,468.33,21452.06,7504.71,1.39,16.52,137,257,66138.89,325,-44686.83,1168,315,907.29,974.43,951.76,44.0,sweep,meets_all
SPX500.c,-930.95,-891.0699999999999,-17133.45,2471.7,0.33,5.8,89,329,40739.95,241,-57873.4,1129,132,817.35,919.01,1487.98,58.0,,loss>70%win
EURJPY.c,-3325.75,-445.49,-1600.11,2855.98,1.46,16.86,85,177,42245.04,287,-43845.15,913,256,382.31,501.04,365.68,38.0,sweep,loss>70%win
WTI.c,-964.35,-208.03,16153.73,4023.0,0.59,7.54,49,164,43866.75,171,-27713.02,660,143,436.73,307.48,216.79,49.0,sweep,meets_all
NZDUSD.c,-1273.4,-66.19,-3208.37,863.2,0.83,9.5,92,105,6364.29,188,-9572.66,598,60,822.47,994.32,167.29,36.0,,loss>70%win
XAGUSD.c,-356.85,-45.7,-18339.4,2590.55,0.28,2.7,59,129,10159.9,128,-28499.3,514,58,340.94,386.05,390.78,50.0,,loss>70%win
JP225.c,-175.3,-28.32,-2831.02,4680.6,0.15,2.5,35,90,17106.57,155,-19937.59,487,30,139.84,106.77,136.71,37.0,,loss>70%win
GBPAUD.c,-1406.65,-273.09,-4418.0,5087.95,1.54,16.4,60,75,23290.91,106,-27708.91,367,52,723.48,507.8,486.39,41.0,,loss>70%win
AUDCAD.c,-363.2,-134.45000000000002,7809.97,3640.9,0.45,11.0,48,94,9308.12,65,-1498.15,319,77,729.74,734.5,163.02,59.0,sweep,meets_all
EURGBP.c,-1689.3,2.3700000000000045,5038.41,4501.13,2.29,18.0,47,72,33730.62,76,-28692.21,295,45,1393.22,1083.45,2407.89,49.0,sweep,loss>70%win
AUDJPY.c,-1033.2,-556.48,16481.83,12379.48,1.42,24.96,54,65,23695.85,83,-7214.0199999999995,289,41,721.81,1410.0,359.43,44.0,,meets_all
EURAUD.c,-1108.0,-124.37,-568.51,4826.74,1.63,12.23,49,47,19344.28,91,-19912.79,272,28,602.67,447.91,612.79,34.0,,loss>70%win
EURCHF.c,-146.05,-194.70000000000002,1305.61,259.55,0.27,4.0,27,83,2641.2,27,-1335.59,220,21,4284.75,4024.33,9658.79,75.0,,meets_all
